date,headline,source,summary
2024-02-08,"Intimation of Schedule of Analyst / Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-13,"Please find enclosed herewith an intimation pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 and ....",BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-02-13,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-13,Allotment of Equity shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-02-13,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III  of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that Wipro Ampion Pty ....",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-02-14,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-02-15,"Please refer to our letter dated February 13, 2024 informing that Wipro Limited and Wipro IT Services, LLC (Step-down subsidiary) have acquired 60% stake in Aggne Global IT Services Private ....",BSE,Announcement under Regulation 30 (LODR)-Updates on Acquisition
2024-02-20,Wipro and IBM Expand Partnership to Offer New AI Services and Support to Clients,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-21,Wipro and Intel Foundry Announce New Collaboration to Advance Chip Design and Development,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-24,Wipro earthian Awards 2023 Celebrate  Excellence in Sustainability Education,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-26,Wipro and Nokia Launch Joint 5G Private Wireless Solution to Speed up Enterprise Digital Transformation,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-28,Wipro Completes Major Cloud Transformation of ManpowerGroup,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-28,Allotment of equity shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-05,"Disclosure pursuant to Regulation 30 of the Securities and Exchange Board of India  (Listing Obligations and Disclosure Requirements) Regulations, 2015.",BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-03-05,"Press Release - General Motors, Magna and Wipro Team up to develop Automotive Software Marketplace : ''SDVerse''",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-03-08,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-11,Press Release - Wipro expands Partnership with Nutanix to launch a new Nutanix Business Unit,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-03-12,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-14,Press Release - Wipro enters into Agreement with Desjardins to Modernize Consumer Banking Services using its NetOxygen Platform,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-03-15,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-18,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-20,Press Release - Wipro appoints Anne-Marie Rowland as CEO of Capco,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-03-21,"Please refer to our letter dated March 5, 2024 informing that Wipro''s step-down subsidiary, Wipro IT Services LLC has entered into an agreement with General Motors and Magna International, ....",BSE,Announcement under Regulation 30 (LODR)-Updates on Acquisition
2024-03-26,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that Wipro Holdings ....",BSE,"Intimation Under Regulation 30 Of SEBI  (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-03-28,Wipro collaborates with Indian Institute of Science for Online Master''s Program in AI,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-03-28,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that Wipro Holdings ....",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-03-29,"Please refer to our letter dated January 18, 2024 informing that Wipro Limited has signed a definitive agreement to subscribe for the equity share capital in Huoban Energy 11 Private Limited ....",BSE,"Disclosure Pursuant To Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-04-02,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-02,"WIPRO LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 19/04/2024 ,inter alia, to consider and approve a) the condensed audited standalone ....",BSE,"Board Meeting Intimation for Considering And Approving The Financial Results For The Period Ended March 31, 2024"
2024-04-03,"Pursuant to Regulation 74(5) of SEBI (DP) Regulations, 2018, a copy of the certificate received from KFin Technologies Limited, the Registrar and Share Transfer Agent of the Company, is ....",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-04-03,"Please find enclosed herewith the Compliance Certificate under Regulation 7(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 for the period ended March 31, 2024.",BSE,"Compliance Certificate For The Period Ended March 31, 2024"
2024-04-03,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that Wipro Holdings ....",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-04-04,"We are enclosing herewith the certificate received from Practicing Company Secretary pursuant to Regulation 40(9) and 40(10) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, ....",BSE,"Certificate Under Regulation 40(9) And 40(10) Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-04-04,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of SEBI (LODR) Regulations, 2015, this is to inform you that Wipro Arabia Limited (step-down subsidiary) has signed ....",BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-04-05,"WIPRO LIMITED TO ANNOUNCE RESULTS FOR THE FOURTH QUARTER AND YEAR ENDED ON MARCH 31, 2024, ON APRIL 19, 2024",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-04-05,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-06,"The disclosure pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 and Clause 204.10 of ....",BSE,Announcement under Regulation 30 (LODR)-Resignation of Chief Executive Officer (CEO)
2024-04-06,Wipro appoints Srinivas Pallia as CEO & Managing Director,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-04-07,Grant of Restricted Stock units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-10,"The disclosure pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, is enclosed.",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Change In Senior Management Personnel"
2024-04-11,"Newspaper Advertisement - Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-12,"Please refer to our letter dated September 1, 2023 informing that Wipro Limited (""Company"") had signed a definitive agreement to subscribe for the equity share capital in FPEL Ujwal Private ....",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-04-14,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-15,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-19,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-04-19,Outcome of Board meeting - Financial Results,BSE,Outcome Of Board Meeting
2024-04-19,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-19,"Adoption of Wipro Limited Employee Stock Options, Performance Stock Unit and Restricted Stock Unit Scheme 2024",BSE,"Intimation Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-04-19,Outcome of Board meeting- Re-appointment of Mr. Rishad A. Premji and Mr. Azim H. Premji,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-04-19,"Auditors Report on financial statements for the quarter and year ended March 31, 2024 with UDIN",BSE,"Auditor''s Report On Financial Statements For The Quarter And Year Ended March 31, 2024 With UDIN"
2024-04-20,"This is to inform that the presentation and video recording of the earnings press conference held on April 19, 2024 is available on the Company's website at https://www.wipro.com/newsr ....",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-04-22,"Newspaper Advertisement - Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-22,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015, it is hereby informed that the Synchrony ....",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-04-23,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-04-24,Transcript of the Analyst/Institutional Investor Meeting,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-04-24,"Intimation of Schedule of Analyst / Institutional Investor Meeting under the SEBI (Listing Obligations and Disclosures Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-04-29,Wipro''s Lab45 launches Think Tank for Change Leaders,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-04-29,Notice of Postal Ballot,BSE,Shareholder Meeting / Postal Ballot-Notice of Postal Ballot
2024-04-30,Wipro Wins Multi-Million-Dollar Deal to Transform Nokia''s Digital Workplace Services,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-01,"Newspaper Advertisement - Regulation 47 of SEBI LODR Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-02,Press Release - Wipro to Implement Independent Health''s Medicare Prescription Payment Plan Platform,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-02,"The disclosure pursuant to regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, is enclosed.",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Change In Senior Management Personnel"
2024-05-02,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-03,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-06,Wipro Collaborates with Microsoft to Launch a Suite of Generative AI-Powered Virtual Assistants for Financial Services,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-06,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-08,Wipro and Kognitos Collaborate to Deploy GenAI-Based Business Automation Solutions,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-08,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-10,"The disclosure pursuant to Regulation 30 read with Para A of Part A of Schedule III of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 is enclosed",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Change In Senior Management Personnel"
2024-05-10,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-13,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-14,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-17,"The disclosure pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI  (Listing Obligations and Disclosure Requirements) Regulations, 2015 is enclosed",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Change In Senior Management Personnel"
2024-05-17,Press Release - Wipro Appoints Sanjeev Jain as Chief Operating Officer,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-22,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-23,Press Release - Wipro Annual Report 2024 on Form 20-F Available Online for ADS Holders,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-23,Press Release - Wipro Appoints Sarat Chand as Regional Head and Managing Director of Northern Europe Region,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-23,"Pursuant to Regulation 24A of SEBI (Listing Obligations and Disclosures Requirements) Regulations, 2015, read with relevant SEBI circulars issued from time to time, please find enclosed ....",BSE,Compliances-Reg.24(A)-Annual Secretarial Compliance
2024-05-27,"Intimation of Schedule of Analyst / Institutional Investor Meeting under the SEBI (Listing Obligations and Disclosures Requirements)Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-28,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-28,Press Release - Wipro Collaborates with the Centre for Brain Research at IISc to Pioneer AI-Driven Health Behavior Innovations,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-28,Wipro to Help Drive Close Brothers'' Technology Delivery and Transformation,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-28,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-29,"Further to our letter dated April 29, 2024, please find enclosed the Scrutinizer''s Report along with the proceedings of the meeting held by way of postal ballot through remote e-voting ....",BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2024-05-31,Wipro Expands Retail Media Offering in Collaboration with Cisco and AT&T,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-03,Press Release - Wipro Appoints Bruno Schenk as Country Head and Managing Director for Switzerland,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-04,"Press Release - Wipro Launches an AI-Assisted Security and Risk Platform, Powered by Zscaler",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-05,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-06-06,"The disclosure pursuant to Regulation 30 read with Para B of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, is enclosed.",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-06-08,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-06-10,"Newspaper Advertisement - Regulation 47 of SEBI LODR Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-11,Press Release - Wipro Introduces the Lab45 AI Platform Designed to Increase Efficiencies and Transform Business Fucntions,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-13,Wipro to Transform Automotive Software Development through Siemens Collaboration and Integration with PAVE360,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-13,Wipro Launches On-Premise GenAI Solution with Hewlett Packard Enterprise,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-14,Press Release - Hanesbrands Inc. Strengthens Wipro Partnership to Accelerate Digital Transformation,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-17,"Pursuant to Section 91 of the Companies Act, 2013 and Regulation 42 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, the ....",BSE,Book Closure For The Purpose Of Annual General Meeting
2024-06-17,"This is to inform that the 78th AGM of the Company is scheduled to be held on Thursday, July 18, 2024 at 9:00 AM IST through video-conferencing.

Pursuant to Section 91 of the Companies ....",BSE,Intimation Of Annual General Meeting ('AGM') And Book Closure Dates For The AGM
2024-06-18,"Intimation under Regulation 30(11) of the SEBI  (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Rumour verification - Regulation 30(11)
2024-06-18,Press Release - Wipro and GBST Announce Strategic Partnership to Transform Superannuation and Wealth Administration Services,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-18,"Newspaper Advertisement - Regulation 47 of SEBI LODR Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-20,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-06-24,"Pursuant to Regulation 34(2)(f) of the SEBI LODR Regulations , 2015, we are enclosing herewith the Business Responsibility and Sustainability Report for FY 2023-24, which also forms part ....",BSE,Business Responsibility and Sustainability Reporting (BRSR)
2024-06-24,"This is to inform that the 78th AGM of the Company is scheduled to be held on Thursday, July 18, 2024 at 9 AM IST through video-conferencing",BSE,"Annual General Meeting On Thursday, July 18, 2024 At 9 AM IST"
2024-06-24,"This is to inform that the 78th AGM of the Company is scheduled to be held on Thursday, July 18, 2024 at 9 AM IST through video conferencing.

Pursuant to Section 108 of the Companies ....",BSE,Reg. 34 (1) Annual Report.
2024-06-26,Wipro Limited has informed the Exchange about Copy of Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-27,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-06-27,"Please refer our letter dated April 4, 2024 informing that the transaction for transfer of shares held by Princess Nourahh Bint Abdulrahaman University''s Endowment Company (joint venture ....",BSE,"Disclosure Pursuant To Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-06-27,"Please refer our letter dated March 29, 2024 informing that the transaction to subscribe for the equity share capital in Huoban Energy 11 Private Limited was expected to be completed by ....",BSE,"Disclosure Pursuant To Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-06-27,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that merger Designit ....",BSE,Announcement under Regulation 30 (LODR)-Restructuring
2024-06-27,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that Attune Australia ....",BSE,Announcement under Regulation 30 (LODR)-Restructuring
2024-07-01,"WIPRO LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 19/07/2024 ,inter alia, to consider and approve a) the condensed audited standalone ....",BSE,"Board Meeting Intimation for Considering And Approving The Financial Results For The Period Ended June 30, 2024"
2024-07-01,"The trading window for dealing in the securities of the Company is closed from June 16, 2024 till the close of of July 21, 2024 (both days inclusive).",BSE,Closure of Trading Window
2024-07-02,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-04,"Pursuant to Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018, a copy of the certificate received from KFin Technologies Limited, the Registrar and Share Transfer ....",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-07-09,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-11,"Wipro Limited to Announce Results for the first quarter ended June 30, 2024, on July 19, 2024",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-07-16,"Disclosure pursuant to Regulation 30 of the SEBI LODR Regulations, 2015",BSE,"Disclosure Pursuant To Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-07-17,"Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-07-18,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-18,Proceedings of the 78th Annual General Meeting,BSE,Shareholder Meeting / Postal Ballot-Outcome of AGM
2024-07-18,Scrutinizer''s Report for the 78th Annual General Meeting,BSE,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
2024-07-19,Outcome of Board Meeting - Financial Results,BSE,Outcome Of Board Meeting
2024-07-19,"Auditor''s Report on financial statement for the quarter ended June 30, 2024 with UDIN",BSE,"Auditor''s Report On Financial Statements For The Quarter Ended June 30, 2024 With UDIN"
2024-07-19,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-07-20,"This is to inform that the presentation and video recording of the earnings press conference held on July 19, 2024 is available on the Company's website at https://www.wipro.com/newsro ....",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-07-20,"Newspaper Advertisement - Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-07-22,"Please find attached herewith copy of the transcript of the Analyst/ Institutional Investor meeting held on July 19, 2024.
The audio recording of the same is available at https://www. ....",BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-07-23,"This is to inform you that the Company has granted 63,333 (Sixty Three Thousand Three Hundred and Thirty Three Only) RSUs under Company''s ADS Restricted Stock Unit Plan 2004 to its identified ....",BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-24,Grant of Restricted Stock Units,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-26,"Intimation of Schedule of Analyst / Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-07-26,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-30,"Intimation of cancellation of Analyst/ Institutional Investor Meeting scheduled on July 30, 2024 under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,"Intimation Of Cancellation Of Analyst / Institutional Investor Meeting Scheduled On July 30, 2024 Under The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-07-31,Press Release - Wipro Secures Contract to enhance MAHLE''s IT Infrastructure with Hybrid Cloud Solutions,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-08-02,"The disclosure pursuant to Regulation 30 read with Para A of Part A of Schedule III of SEBI Listing Regulations 2015, is enclosed herewith.",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-08-02,Intimation regarding loss of share certificates and issuance of duplicate share certificates in lieu thereof,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-08-03,Allotment of Equity Shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
